"Bay","Period","Site","Num_quads","Sum_spat","Sum_seed","Sum_legal","CPUE_Spat","CPUE_seed","CPUE_Legal"
"Apalachicola",10,"Bayou Flats",15,57,0,0,3.8,0,0
"Apalachicola",10,"Cat Point",30,73,25,0,2.43333333333333,0.833333333333333,0
"Apalachicola",10,"Dry Bar",60,54,1,0,0.9,0.0166666666666667,0
"Apalachicola",10,"Eleven Mile",30,107,11,0,3.56666666666667,0.366666666666667,0
"Apalachicola",10,"Hotel Bar",45,257,1,0,5.71111111111111,0.0222222222222222,0
"Apalachicola",10,"Lighthouse Bar",30,91,3,0,3.03333333333333,0.1,0
"Apalachicola",10,"Little Gully",30,54,0,0,1.8,0,0
"Apalachicola",10,"Normans Bar",60,550,108,2,9.16666666666667,1.8,0.0333333333333333
"Apalachicola",10,"Redfish Creek",45,409,58,0,9.08888888888889,1.28888888888889,0
"Apalachicola",12,"Cabbage Top",15,454,509,7,30.2666666666667,33.9333333333333,0.466666666666667
"Apalachicola",12,"Hotel Bar",45,4132,2389,8,91.8222222222222,53.0888888888889,0.177777777777778
"Apalachicola",12,"North Spur",30,445,346,0,14.8333333333333,11.5333333333333,0
"Apalachicola",13,"8 Mile",30,68,647,73,2.26666666666667,21.5666666666667,2.43333333333333
"Apalachicola",13,"9 Mile B",15,0,4,1,0,0.266666666666667,0.0666666666666667
"Apalachicola",13,"Bayou Flats",15,16,15,5,1.06666666666667,1,0.333333333333333
"Apalachicola",13,"Bulkhead",15,114,809,136,7.6,53.9333333333333,9.06666666666667
"Apalachicola",13,"Cabbage Lumps",15,17,10,3,1.13333333333333,0.666666666666667,0.2
"Apalachicola",13,"Cabbage Top",30,24,1,0,0.8,0.0333333333333333,0
"Apalachicola",13,"Cat Point",75,11318,1286,62,150.906666666667,17.1466666666667,0.826666666666667
"Apalachicola",13,"Cat Point Spur",30,912,1732,184,30.4,57.7333333333333,6.13333333333333
"Apalachicola",13,"Dry Bar",45,239,0,0,5.31111111111111,0,0
"Apalachicola",13,"East Hole",90,1483,1403,27,16.4777777777778,15.5888888888889,0.3
"Apalachicola",13,"East Lumps",30,24331,208,5,811.033333333333,6.93333333333333,0.166666666666667
"Apalachicola",13,"Eleven Mile",30,24,23,5,0.8,0.766666666666667,0.166666666666667
"Apalachicola",13,"Green Point",15,120,2,0,8,0.133333333333333,0
"Apalachicola",13,"Hotel Bar",45,211,2,0,4.68888888888889,0.0444444444444444,0
"Apalachicola",13,"King 9 Mile",15,39,216,17,2.6,14.4,1.13333333333333
"Apalachicola",13,"Lighthouse Bar",60,8979,158,7,149.65,2.63333333333333,0.116666666666667
"Apalachicola",13,"Little Gully",30,443,9,0,14.7666666666667,0.3,0
"Apalachicola",13,"Monkeys Elbow",30,128,785,119,4.26666666666667,26.1666666666667,3.96666666666667
"Apalachicola",13,"North Spur",15,106,5,0,7.06666666666667,0.333333333333333,0
"Apalachicola",13,"Peanut Ridge",30,563,786,168,18.7666666666667,26.2,5.6
"Apalachicola",13,"Redfish Creek",45,50,24,3,1.11111111111111,0.533333333333333,0.0666666666666667
"Apalachicola",14,"Cat Point",60,13518,2994,2,225.3,49.9,0.0333333333333333
"Apalachicola",14,"Dry Bar",15,5,0,0,0.333333333333333,0,0
"Apalachicola",14,"East Lumps",30,30327,6839,10,1010.9,227.966666666667,0.333333333333333
"Apalachicola",14,"Lighthouse Bar",30,15675,3531,0,522.5,117.7,0
"Apalachicola",14,"Normans Bar",60,772,235,13,12.8666666666667,3.91666666666667,0.216666666666667
"Apalachicola",15,"Cat Point",15,1012,1679,0,67.4666666666667,111.933333333333,0
"Apalachicola",15,"East Lumps",15,1034,1717,0,68.9333333333333,114.466666666667,0
"Apalachicola",15,"Lighthouse Bar",15,747,1244,0,49.8,82.9333333333333,0
"Apalachicola",2,"Bulkhead",150,69318,18423,5,462.12,122.82,0.0333333333333333
"Apalachicola",2,"Dry Bar",149,30430,8082,2,204.228187919463,54.241610738255,0.0134228187919463
"Apalachicola",2,"Hotel Bar",149,78459,20865,11,526.570469798658,140.03355704698,0.0738255033557047
"Apalachicola",3,"Bulkhead",150,4419,7165,0,29.46,47.7666666666667,0
"Apalachicola",3,"Dry Bar",155,2094,3354,0,13.5096774193548,21.6387096774194,0
"Apalachicola",3,"Hotel Bar",150,9816,15928,0,65.44,106.186666666667,0
"Apalachicola",4,"Bulkhead",150,36381,3718,0,242.54,24.7866666666667,0
"Apalachicola",4,"Dry Bar",150,3632,365,0,24.2133333333333,2.43333333333333,0
"Apalachicola",4,"Hotel Bar",150,35779,3660,0,238.526666666667,24.4,0
"Apalachicola",5,"Bayou Flats",15,0,0,0,0,0,0
"Apalachicola",5,"Bulkhead",150,16339,3219,593,108.926666666667,21.46,3.95333333333333
"Apalachicola",5,"Cabbage Lumps",15,76,38,4,5.06666666666667,2.53333333333333,0.266666666666667
"Apalachicola",5,"Cabbage Top",30,33,15,15,1.1,0.5,0.5
"Apalachicola",5,"Cat Point",30,466,1198,52,15.5333333333333,39.9333333333333,1.73333333333333
"Apalachicola",5,"Dry Bar",205,761,87,12,3.71219512195122,0.424390243902439,0.0585365853658537
"Apalachicola",5,"Eleven Mile",30,2,0,0,0.0666666666666667,0,0
"Apalachicola",5,"Green Point",15,3,0,0,0.2,0,0
"Apalachicola",5,"Hotel Bar",195,11602,1983,349,59.4974358974359,10.1692307692308,1.78974358974359
"Apalachicola",5,"Lighthouse Bar",30,1022,265,29,34.0666666666667,8.83333333333333,0.966666666666667
"Apalachicola",5,"Little Gully",30,37,2,0,1.23333333333333,0.0666666666666667,0
"Apalachicola",5,"Normans Bar",60,683,632,15,11.3833333333333,10.5333333333333,0.25
"Apalachicola",5,"North Spur",15,2,1,0,0.133333333333333,0.0666666666666667,0
"Apalachicola",5,"Redfish Creek",45,255,166,34,5.66666666666667,3.68888888888889,0.755555555555556
"Apalachicola",6,"Bayou Flats",15,0,0,0,0,0,0
"Apalachicola",6,"Bulkhead",150,25151,123,0,167.673333333333,0.82,0
"Apalachicola",6,"Cabbage Lumps",15,157,13,3,10.4666666666667,0.866666666666667,0.2
"Apalachicola",6,"Cat Point",30,1519,227,16,50.6333333333333,7.56666666666667,0.533333333333333
"Apalachicola",6,"Dry Bar",195,2318,0,0,11.8871794871795,0,0
"Apalachicola",6,"Eleven Mile",30,2,0,0,0.0666666666666667,0,0
"Apalachicola",6,"Green Point",15,37,0,0,2.46666666666667,0,0
"Apalachicola",6,"Hotel Bar",195,16227,63,0,83.2153846153846,0.323076923076923,0
"Apalachicola",6,"Lighthouse Bar",30,2483,180,4,82.7666666666667,6,0.133333333333333
"Apalachicola",6,"Normans Bar",60,827,361,36,13.7833333333333,6.01666666666667,0.6
"Apalachicola",6,"North Spur",15,12,0,0,0.8,0,0
"Apalachicola",6,"Redfish Creek",45,168,32,2,3.73333333333333,0.711111111111111,0.0444444444444444
"Apalachicola",7,"8 Mile",30,0,17,0,0,0.566666666666667,0
"Apalachicola",7,"9 Mile B",5,29,0,0,5.8,0,0
"Apalachicola",7,"Bulkhead",165,9707,730,0,58.830303030303,4.42424242424242,0
"Apalachicola",7,"Cabbage Top",45,226,272,5,5.02222222222222,6.04444444444444,0.111111111111111
"Apalachicola",7,"Cat Point",45,978,515,0,21.7333333333333,11.4444444444444,0
"Apalachicola",7,"Cat Point Spur",30,2486,280,0,82.8666666666667,9.33333333333333,0
"Apalachicola",7,"Dry Bar",165,180,0,0,1.09090909090909,0,0
"Apalachicola",7,"East Hole",90,5286,357,0,58.7333333333333,3.96666666666667,0
"Apalachicola",7,"Hotel Bar",195,6474,53,0,33.2,0.271794871794872,0
"Apalachicola",7,"King 9 Mile",15,0,0,0,0,0,0
"Apalachicola",7,"Little Gully",30,7,0,0,0.233333333333333,0,0
"Apalachicola",7,"Monkeys Elbow",30,1037,508,0,34.5666666666667,16.9333333333333,0
"Apalachicola",7,"North Spur",30,1247,229,0,41.5666666666667,7.63333333333333,0
"Apalachicola",7,"Peanut Ridge",30,707,388,0,23.5666666666667,12.9333333333333,0
"Apalachicola",8,"Bulkhead",150,1750,0,0,11.6666666666667,0,0
"Apalachicola",8,"Dry Bar",150,196,0,0,1.30666666666667,0,0
"Apalachicola",8,"Hotel Bar",150,2918,0,0,19.4533333333333,0,0
"Apalachicola",9,"8 Mile",30,28,145,0,0.933333333333333,4.83333333333333,0
"Apalachicola",9,"9 Mile B",25,0,0,0,0,0,0
"Apalachicola",9,"Bulkhead",165,2044,691,0,12.3878787878788,4.18787878787879,0
"Apalachicola",9,"Cabbage Lumps",15,8,1,0,0.533333333333333,0.0666666666666667,0
"Apalachicola",9,"Cabbage Top",45,173,1262,0,3.84444444444444,28.0444444444444,0
"Apalachicola",9,"Cat Point",45,1933,946,2,42.9555555555556,21.0222222222222,0.0444444444444444
"Apalachicola",9,"Cat Point Spur",30,2176,1626,5,72.5333333333333,54.2,0.166666666666667
"Apalachicola",9,"Dry Bar",150,137,0,0,0.913333333333333,0,0
"Apalachicola",9,"East Hole",90,2527,930,0,28.0777777777778,10.3333333333333,0
"Apalachicola",9,"Green Point",15,0,0,0,0,0,0
"Apalachicola",9,"Hotel Bar",195,2075,1773,0,10.6410256410256,9.09230769230769,0
"Apalachicola",9,"King 9 Mile",15,19,28,0,1.26666666666667,1.86666666666667,0
"Apalachicola",9,"Monkeys Elbow",30,1409,852,0,46.9666666666667,28.4,0
"Apalachicola",9,"North Spur",45,146,14,0,3.24444444444444,0.311111111111111,0
"Apalachicola",9,"Peanut Ridge",30,1471,772,0,49.0333333333333,25.7333333333333,0
"Pensacola",10,"Big John Bar",15,346,232,6,23.0666666666667,15.4666666666667,0.4
"Pensacola",10,"Boathouse Lumps",30,108,0,0,3.6,0,0
"Pensacola",10,"East River",60,1301,697,10,21.6833333333333,11.6166666666667,0.166666666666667
"Pensacola",10,"Escribano Point",30,451,386,0,15.0333333333333,12.8666666666667,0
"Pensacola",10,"Half Moon Bar",15,147,0,0,9.8,0,0
"Pensacola",10,"Mussel Beds",15,186,269,3,12.4,17.9333333333333,0.2
"Pensacola",10,"No Name Bar",15,417,264,4,27.8,17.6,0.266666666666667
"Pensacola",10,"Point No Point Bar",15,30,32,0,2,2.13333333333333,0
"Pensacola",10,"Square Bar",15,0,0,0,0,0,0
"Pensacola",10,"Trout Bayou",45,327,998,10,7.26666666666667,22.1777777777778,0.222222222222222
"Pensacola",10,"White Point Bar",30,755,577,1,25.1666666666667,19.2333333333333,0.0333333333333333
"Pensacola",15,"Big John Bar",15,0,0,0,0,0,0
"Pensacola",15,"Boathouse Lumps",30,6,0,0,0.2,0,0
"Pensacola",15,"East River",60,2,22,4,0.0333333333333333,0.366666666666667,0.0666666666666667
"Pensacola",15,"Escribano Point",30,1,52,5,0.0333333333333333,1.73333333333333,0.166666666666667
"Pensacola",15,"Half Moon Bar",15,1,0,0,0.0666666666666667,0,0
"Pensacola",15,"Mussel Beds",15,1,0,0,0.0666666666666667,0,0
"Pensacola",15,"No Name Bar",15,5,7,5,0.333333333333333,0.466666666666667,0.333333333333333
"Pensacola",15,"Point No Point Bar",15,0,0,0,0,0,0
"Pensacola",15,"Square Bar",15,1,0,0,0.0666666666666667,0,0
"Pensacola",15,"Trout Bayou",45,23,33,2,0.511111111111111,0.733333333333333,0.0444444444444444
"Pensacola",15,"White Point Bar",30,3,30,0,0.1,1,0
"Pensacola",5,"Boathouse Lumps",30,429,46,1,14.3,1.53333333333333,0.0333333333333333
"Pensacola",5,"Escribano Point",30,5,0,0,0.166666666666667,0,0
"Pensacola",5,"Mussel Beds",15,161,3,0,10.7333333333333,0.2,0
"Pensacola",5,"No Name Bar",15,226,201,0,15.0666666666667,13.4,0
"Pensacola",5,"Point No Point Bar",15,3,2,0,0.2,0.133333333333333,0
"Pensacola",5,"Trout Bayou",45,1508,64,2,33.5111111111111,1.42222222222222,0.0444444444444444
"Pensacola",6,"Big John Bar",15,80,280,0,5.33333333333333,18.6666666666667,0
"Pensacola",6,"East River",60,454,868,13,7.56666666666667,14.4666666666667,0.216666666666667
"Pensacola",6,"Half Moon Bar",15,391,368,0,26.0666666666667,24.5333333333333,0
"Pensacola",6,"Square Bar",15,205,204,0,13.6666666666667,13.6,0
"Pensacola",6,"White Point Bar",30,24,34,0,0.8,1.13333333333333,0
"Pensacola",7,"Big John Bar",15,88,144,0,5.86666666666667,9.6,0
"Pensacola",7,"Boathouse Lumps",30,281,152,0,9.36666666666667,5.06666666666667,0
"Pensacola",7,"East River",60,143,655,1,2.38333333333333,10.9166666666667,0.0166666666666667
"Pensacola",7,"Escribano Point",30,329,377,0,10.9666666666667,12.5666666666667,0
"Pensacola",7,"Half Moon Bar",15,331,147,0,22.0666666666667,9.8,0
"Pensacola",7,"Mussel Beds",15,15,2,0,1,0.133333333333333,0
"Pensacola",7,"No Name Bar",15,61,131,0,4.06666666666667,8.73333333333333,0
"Pensacola",7,"Point No Point Bar",15,17,0,0,1.13333333333333,0,0
"Pensacola",7,"Square Bar",15,206,74,1,13.7333333333333,4.93333333333333,0.0666666666666667
"Pensacola",7,"Trout Bayou",45,923,341,0,20.5111111111111,7.57777777777778,0
"Pensacola",7,"White Point Bar",30,301,269,0,10.0333333333333,8.96666666666667,0
"St. Andrew",10,"Crooked Creek Point",15,0,0,0,0,0,0
"St. Andrew",10,"Doyle Bayou",30,814,322,1,27.1333333333333,10.7333333333333,0.0333333333333333
"St. Andrew",10,"East Power Lines",15,651,86,0,43.4,5.73333333333333,0
"St. Andrew",10,"Goose Point",15,721,396,21,48.0666666666667,26.4,1.4
"St. Andrew",10,"Little Oyster Bar Point",15,595,414,12,39.6666666666667,27.6,0.8
"St. Andrew",10,"Newman Bayou Bar",15,1,0,0,0.0666666666666667,0,0
"St. Andrew",10,"Off Little Oyster Bar Ridge",15,768,412,22,51.2,27.4666666666667,1.46666666666667
"St. Andrew",10,"South Channel Ridge",15,8204,205,3,546.933333333333,13.6666666666667,0.2
"St. Andrew",10,"West Bay Point",30,1321,151,0,44.0333333333333,5.03333333333333,0
"St. Andrew",5,"Crooked Creek Point",15,31,31,1,2.06666666666667,2.06666666666667,0.0666666666666667
"St. Andrew",5,"Doyle Bayou",30,892,260,0,29.7333333333333,8.66666666666667,0
