"Date","Site","Quadrat","Weight","Legal","Sublegal","Spat","Total_Live","Full_year","Year","Month","Day","Period","season"
"Jun 14 2018 12:00AM","8 Mile",1,0.41,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,0.35,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",3,3.46,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",4,2.07,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",5,3.29,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",1,0.81,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,1.18,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",3,0,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",4,0.19,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",5,0.34,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",1,4.85,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,5.44,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",3,4.27,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",4,4.61,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",5,6.82,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",1,0.62,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",2,0.62,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",3,0.21,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",4,0.36,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",5,0.28,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",1,0.8,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",2,1.31,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",3,2.88,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",4,1.64,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",5,4.14,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",1,0.47,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",2,0.41,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",3,0.41,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",4,0.47,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","King 9 Mile",5,0.47,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",1,5.52,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,9.15,0,3,0,3,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",3,6.49,0,2,0,2,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",4,4.11,0,2,0,2,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",5,5.77,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",1,5.11,0,3,0,3,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,4.31,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",3,4.2,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",4,4.58,0,2,0,2,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",5,6.6,0,1,0,1,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",1,4.87,0,0,0,0,"2018-06-14",2018,6,14,7,"Summer"
"Jun 14 2018 12:00AM","8 Mile",2,6.24,0,1,0,1,"2018-06-14",2018,6,14,7,"Summer"
